grid,monitoring_period,common_name,occupied,n_deployments,prop_occupied,density_avg,density_lci_0.9,density_uci_0.9
AUB,monitor_2019,White-tailed Deer,22,25,0.88,3.102039249,1.802196405,4.8714164
AUB,monitor_2020,White-tailed Deer,23,24,0.958333333,1.779462535,1.080342289,2.697847249
AUB,monitor_2021,White-tailed Deer,15,18,0.833333333,2.045892029,0.85922819,3.938393031
CAL,monitor_2017,White-tailed Deer,20,24,0.833333333,0.905736106,0.536064827,1.391733467
CAL,monitor_2018,White-tailed Deer,23,24,0.958333333,1.496184266,0.77561831,2.528521139
CAL,monitor_2019,White-tailed Deer,20,23,0.869565217,1.658208593,1.000223603,2.507819082
CHR,monitor_2017,White-tailed Deer,9,25,0.36,0.248949307,0.066086607,0.578715254
CHR,monitor_2018,White-tailed Deer,13,26,0.5,0.315827624,0.123914225,0.622556483
CHR,monitor_2019,White-tailed Deer,14,26,0.538461538,0.307580654,0.10746977,0.655196353
CHR,monitor_2020,White-tailed Deer,15,26,0.576923077,0.473837343,0.200111764,0.894024784
CHR,monitor_2021,White-tailed Deer,15,24,0.625,0.638387332,0.275671641,1.221125079
DEW,monitor_2017,White-tailed Deer,4,18,0.222222222,0.077200608,0.013381408,0.202626929
DEW,monitor_2018,White-tailed Deer,13,19,0.684210526,0.341457123,0.140151149,0.661313685
DEW,monitor_2019,White-tailed Deer,13,20,0.65,0.512656764,0.211631749,0.992552584
DEW,monitor_2020,White-tailed Deer,4,8,0.5,0.197467606,0.029060888,0.566175569
FMM,monitor_2017,White-tailed Deer,3,25,0.12,0.010366202,4.62E-04,0.033115164
FMM,monitor_2018,White-tailed Deer,3,25,0.12,0.006001004,5.18E-04,0.017356415
FMM,monitor_2019,White-tailed Deer,4,25,0.16,0.007268538,0.001854417,0.014817767
FMM,monitor_2020,White-tailed Deer,3,24,0.125,0.105253133,0.005508861,0.356689794
FMM,monitor_2021,White-tailed Deer,2,24,0.083333333,0.003219287,0,0.009896491
LID,monitor_2018,White-tailed Deer,3,24,0.125,0.061567252,0.001452165,0.235784638
LID,monitor_2019,White-tailed Deer,8,23,0.347826087,0.168828008,0.055431532,0.357923927
LID,monitor_2020,White-tailed Deer,12,25,0.48,0.11702103,0.045555254,0.22868676
LID,monitor_2021,White-tailed Deer,10,23,0.434782609,0.101964951,0.047024913,0.180792296
LLB,monitor_2017,White-tailed Deer,18,25,0.72,1.032244456,0.566700241,1.67730417
LLB,monitor_2018,White-tailed Deer,17,25,0.68,0.85959457,0.412599775,1.520595552
LLB,monitor_2019,White-tailed Deer,20,25,0.8,0.904872319,0.489857664,1.490813048
LLB,monitor_2020,White-tailed Deer,18,25,0.72,1.25604033,0.512880884,2.451436216
LLB,monitor_2021,White-tailed Deer,19,22,0.863636364,1.511991705,0.715101698,2.691761157
LRN,monitor_2017,White-tailed Deer,0,24,0,0,0,0
LRN,monitor_2018,White-tailed Deer,7,24,0.291666667,0.112549289,0.023603353,0.293506616
LRN,monitor_2019,White-tailed Deer,5,23,0.217391304,0.119722757,0.014659579,0.364525851
LRN,monitor_2020,White-tailed Deer,7,24,0.291666667,0.069014174,0.018512299,0.162204894
LRN,monitor_2021,White-tailed Deer,8,20,0.4,0.321926798,0.085796686,0.76449746
MAC,monitor_2017,White-tailed Deer,1,25,0.04,0.002060028,0.002060028,0.002060028
MAC,monitor_2018,White-tailed Deer,0,25,0,0,0,0
MAC,monitor_2019,White-tailed Deer,5,23,0.217391304,0.006238459,0.001761202,0.013784537
MAC,monitor_2020,White-tailed Deer,2,22,0.090909091,0.002718925,0,0.008068751
MAC,monitor_2021,White-tailed Deer,0,10,0,0,0,0
MAL,monitor_2020,White-tailed Deer,4,23,0.173913043,0.258107139,0.057133505,0.607580084
MAL,monitor_2021,White-tailed Deer,10,17,0.588235294,0.893760148,0.246564977,2.117835201
MCC,monitor_2017,White-tailed Deer,0,24,0,0,0,0
MCC,monitor_2018,White-tailed Deer,2,25,0.08,0.010315492,0,0.024429993
MCC,monitor_2019,White-tailed Deer,4,23,0.173913043,0.006227029,0.001176359,0.015710943
MCC,monitor_2020,White-tailed Deer,4,25,0.16,0.01492372,0.00159561,0.045408711
MCC,monitor_2021,White-tailed Deer,3,25,0.12,0.01158431,0.001138621,0.032460834
PEL,monitor_2020,White-tailed Deer,17,22,0.772727273,0.735664993,0.344167095,1.333007561
PEL,monitor_2021,White-tailed Deer,10,14,0.714285714,1.697506566,0.523980162,3.759162004
WAB,monitor_2017,White-tailed Deer,6,25,0.24,0.083762958,0.020757975,0.197886924
WAB,monitor_2018,White-tailed Deer,5,23,0.217391304,0.115069544,0.015867067,0.342390166
WAB,monitor_2019,White-tailed Deer,9,24,0.375,0.120470329,0.0312492,0.284714912
WAB,monitor_2020,White-tailed Deer,10,22,0.454545455,0.15378842,0.057587017,0.312323567
WAB,monitor_2021,White-tailed Deer,4,9,0.444444444,0.356476112,0.072572725,0.896360351
